user_id,sessions,last_login_days,revenue,country,churn,segment,segment_name
0,73,4,1010,Maldives,0,1,Loyal
1,26,9,3111,San Marino,0,2,At Risk
2,18,23,1236,Qatar,0,2,At Risk
3,41,52,3801,Yemen,1,0,Dormant
4,51,13,2978,Poland,0,2,At Risk
5,4,39,1424,Saudi Arabia,0,2,At Risk
6,20,67,325,Nauru,1,3,Dormant
7,60,31,3488,Vietnam,0,4,High Value
8,31,39,3487,Kazakhstan,0,2,At Risk
9,67,15,305,Anguilla,0,1,Loyal
10,52,24,3787,Iceland,0,4,High Value
11,33,74,1006,Martinique,1,3,Dormant
12,13,18,3285,Croatia,0,2,At Risk
13,39,87,1986,United Kingdom,1,3,Dormant
14,30,49,3107,Bosnia and Herzegovina,1,0,Dormant
15,52,49,3677,Lao People's Democratic Republic,1,4,High Value
16,39,15,4841,Iraq,0,2,At Risk
17,2,70,3717,Guinea,1,0,Dormant
18,25,59,4798,Bahamas,1,0,Dormant
19,97,35,2085,Ecuador,0,1,Loyal
20,73,66,815,Togo,1,3,Dormant
21,38,41,406,Sweden,0,3,Dormant
22,16,59,3109,Kyrgyz Republic,1,0,Dormant
23,51,25,4685,Algeria,0,4,High Value
24,92,53,943,Cameroon,1,1,Loyal
25,3,22,373,United Kingdom,0,2,At Risk
26,81,5,1808,Armenia,0,1,Loyal
27,32,38,822,Mexico,0,3,Dormant
28,96,17,4658,Korea,0,4,High Value
29,47,6,4004,Bahamas,0,2,At Risk
30,83,77,2860,Maldives,1,4,High Value
31,80,81,2665,Serbia,1,4,High Value
32,66,82,2343,Grenada,1,3,Dormant
33,54,90,2,Venezuela,1,3,Dormant
34,55,48,3039,Peru,1,4,High Value
35,38,40,794,Equatorial Guinea,0,3,Dormant
36,80,54,4349,Nigeria,1,4,High Value
37,8,53,3447,Afghanistan,1,0,Dormant
38,37,74,908,Turkey,1,3,Dormant
39,91,49,808,Timor-Leste,1,1,Loyal
40,85,13,3137,Belize,0,4,High Value
41,11,24,2347,Brazil,0,2,At Risk
42,48,71,4012,Kuwait,1,0,Dormant
43,19,67,1770,Morocco,1,3,Dormant
44,40,58,2471,Romania,1,0,Dormant
45,67,22,1581,Mauritania,0,1,Loyal
46,19,13,2166,Comoros,0,2,At Risk
47,73,21,4496,Philippines,0,4,High Value
48,10,13,3824,Iran,0,2,At Risk
49,86,40,4609,Montserrat,0,4,High Value
50,66,70,4875,Netherlands,1,4,High Value
51,63,8,962,Poland,0,1,Loyal
52,61,53,1901,Hong Kong,1,3,Dormant
