user_id,sessions,last_login_days,revenue,country,churn
0,73,4,1010,Maldives,0
1,26,9,3111,San Marino,0
2,18,23,1236,Qatar,0
3,41,52,3801,Yemen,1
4,51,13,2978,Poland,0
5,4,39,1424,Saudi Arabia,0
6,20,67,325,Nauru,1
7,60,31,3488,Vietnam,0
8,31,39,3487,Kazakhstan,0
9,67,15,305,Anguilla,0
10,52,24,3787,Iceland,0
11,33,74,1006,Martinique,1
12,13,18,3285,Croatia,0
13,39,87,1986,United Kingdom,1
14,30,49,3107,Bosnia and Herzegovina,1
15,52,49,3677,Lao People's Democratic Republic,1
16,39,15,4841,Iraq,0
17,2,70,3717,Guinea,1
18,25,59,4798,Bahamas,1
19,97,35,2085,Ecuador,0
20,73,66,815,Togo,1
21,38,41,406,Sweden,0
22,16,59,3109,Kyrgyz Republic,1
23,51,25,4685,Algeria,0
24,92,53,943,Cameroon,1
25,3,22,373,United Kingdom,0
26,81,5,1808,Armenia,0
27,32,38,822,Mexico,0
28,96,17,4658,Korea,0
29,47,6,4004,Bahamas,0
30,83,77,2860,Maldives,1
31,80,81,2665,Serbia,1
32,66,82,2343,Grenada,1
33,54,90,2,Venezuela,1
34,55,48,3039,Peru,1
35,38,40,794,Equatorial Guinea,0
36,80,54,4349,Nigeria,1
37,8,53,3447,Afghanistan,1
38,37,74,908,Turkey,1
39,91,49,808,Timor-Leste,1
40,85,13,3137,Belize,0
41,11,24,2347,Brazil,0
42,48,71,4012,Kuwait,1
43,19,67,1770,Morocco,1
44,40,58,2471,Romania,1
45,67,22,1581,Mauritania,0
46,19,13,2166,Comoros,0
47,73,21,4496,Philippines,0
48,10,13,3824,Iran,0
49,86,40,4609,Montserrat,0
50,66,70,4875,Netherlands,1
51,63,8,962,Poland,0
52,61,53,1901,Hong Kong,1
53,57,37,1754,Ethiopia,0
54,29,89,1256,Uganda,1
55,30,23,2124,Bermuda,0
56,18,81,2955,Korea,1
57,85,63,3796,United States of America,1
58,89,58,810,Christmas Island,1
59,57,62,1290,Kuwait,1
60,26,49,1450,Angola,1
61,68,90,2198,Wallis and Futuna,1
62,63,28,2073,Switzerland,0
63,93,62,2236,Chile,1
64,15,26,3684,Tajikistan,0
65,33,3,307,Nicaragua,0
66,19,18,2977,Jersey,0
67,21,49,1219,Liechtenstein,1
68,8,9,3612,Philippines,0
69,5,68,440,Turks and Caicos Islands,1
70,81,57,4641,Slovakia (Slovak Republic),1
71,96,64,4499,Somalia,1
72,58,1,305,Gibraltar,0
73,16,71,3844,Turkey,1
74,100,57,2589,Aruba,1
75,77,12,4032,India,0
76,13,4,4338,Jordan,0
77,56,38,1153,Togo,0
78,42,21,1329,Heard Island and McDonald Islands,0
79,4,58,1712,Eritrea,1
80,48,43,4421,Vanuatu,0
81,21,77,485,Canada,1
82,58,10,4243,Equatorial Guinea,0
83,93,45,1374,Andorra,0
84,44,59,2678,Faroe Islands,1
85,30,27,850,Seychelles,0
86,18,8,2992,Azerbaijan,0
87,81,79,1537,Guadeloupe,1
88,75,36,4243,Vietnam,0
89,17,28,2050,Korea,0
90,6,2,4292,Romania,0
91,17,23,2952,Andorra,0
92,27,28,1800,Central African Republic,0
93,16,57,4073,Seychelles,1
94,96,15,350,Andorra,0
95,93,67,2775,Lao People's Democratic Republic,1
96,52,11,4875,Tajikistan,0
97,8,84,3716,Mali,1
98,43,23,1113,Tunisia,0
99,47,64,2265,South Africa,1
100,65,64,2215,Eritrea,1
101,45,2,2568,Ecuador,0
102,5,24,2295,Liberia,0
103,12,10,1015,Brazil,0
104,74,80,3975,Greece,1
105,9,84,1305,Saint Vincent and the Grenadines,1
106,11,54,2969,Isle of Man,1
107,79,30,921,Israel,0
108,62,72,1505,Iceland,1
109,19,2,1063,Mozambique,0
110,51,15,3768,Nepal,0
111,5,5,3376,Isle of Man,0
112,61,49,4450,Pitcairn Islands,1
113,27,28,2750,Congo,0
114,18,44,562,Saint Martin,0
115,75,45,2882,Guadeloupe,0
116,17,41,4210,Brunei Darussalam,0
117,86,35,86,Greece,0
118,25,36,2679,Burkina Faso,0
119,78,22,3855,Cameroon,0
120,61,84,646,Luxembourg,1
121,88,76,3007,Portugal,1
122,94,25,2183,Tunisia,0
123,5,68,0,Dominican Republic,1
124,38,80,4583,Mauritania,1
125,55,90,478,Madagascar,1
126,79,80,1000,Albania,1
127,12,36,1296,Estonia,0
128,83,55,801,Germany,1
129,33,74,4811,Greenland,1
130,9,31,1587,Tanzania,0
131,19,14,3041,Saint Kitts and Nevis,0
132,42,89,3696,Papua New Guinea,1
133,99,21,4574,Italy,0
134,38,42,4975,Kyrgyz Republic,0
135,73,78,4866,Cameroon,1
136,96,42,3001,Singapore,0
137,86,9,4783,Morocco,0
138,50,72,1938,Guernsey,1
139,85,11,436,Luxembourg,0
140,56,65,4963,Tanzania,1
141,96,54,2062,Faroe Islands,1
142,96,80,2910,Bulgaria,1
143,89,26,2677,South Georgia and the South Sandwich Islands,0
144,80,78,2986,Egypt,1
145,16,35,2057,Syrian Arab Republic,0
146,84,12,3762,South Africa,0
147,100,50,3847,Portugal,1
148,56,20,1801,Barbados,0
149,28,39,3981,Slovenia,0
150,77,48,3345,United States of America,1
151,7,24,2021,Tuvalu,0
152,96,62,408,Belarus,1
153,74,23,566,Azerbaijan,0
154,28,2,4513,Bouvet Island (Bouvetoya),0
155,4,60,2279,Maldives,1
156,81,49,1630,Andorra,1
157,13,27,399,Bermuda,0
158,17,32,3028,Congo,0
159,34,8,2514,Sierra Leone,0
160,68,81,3742,El Salvador,1
161,72,24,4506,Tajikistan,0
162,65,59,895,Cameroon,1
163,100,26,3979,Malta,0
164,57,12,3764,Korea,0
165,16,80,4140,Guatemala,1
166,71,77,4675,Russian Federation,1
167,65,23,787,Seychelles,0
168,15,79,4419,Jersey,1
169,50,69,1743,Gabon,1
170,26,39,1329,Norfolk Island,0
171,58,72,1538,Sierra Leone,1
172,9,2,4240,Kenya,0
173,93,76,1322,Montserrat,1
174,84,30,4255,Benin,0
175,60,86,4458,French Southern Territories,1
176,21,3,407,Mexico,0
177,93,29,2936,Israel,0
178,2,69,1717,Gabon,1
179,12,16,3515,United States of America,0
180,26,36,2453,United Kingdom,0
181,86,32,3494,Greece,0
182,62,31,2643,Portugal,0
183,58,20,2299,Comoros,0
184,50,75,4252,Eritrea,1
185,4,77,4831,Peru,1
186,67,47,100,Guatemala,1
187,23,30,4056,Romania,0
188,37,75,4722,Papua New Guinea,1
189,96,82,3879,Wallis and Futuna,1
190,20,66,3001,Croatia,1
191,90,58,1643,United States Minor Outlying Islands,1
192,60,37,199,Cameroon,0
193,10,2,2234,Monaco,0
194,78,13,3449,French Southern Territories,0
195,73,20,1830,United States Minor Outlying Islands,0
196,85,45,1779,Moldova,0
197,51,19,2106,Anguilla,0
198,63,34,4886,Saint Lucia,0
199,45,38,365,Serbia,0
200,34,42,2225,Cocos (Keeling) Islands,0
201,55,14,253,Myanmar,0
202,54,46,3982,Chile,1
203,69,41,2044,Iran,0
204,97,32,1100,Australia,0
205,87,45,4995,Eritrea,0
206,75,88,4529,Peru,1
207,61,4,2161,Korea,0
208,33,87,2759,Mauritius,1
209,4,51,1111,Nigeria,1
210,17,88,4224,Luxembourg,1
211,84,57,659,Sudan,1
212,60,3,256,Singapore,0
213,30,12,659,Western Sahara,0
214,24,56,1404,Togo,1
215,16,80,259,Montenegro,1
216,73,48,1968,Lebanon,1
217,85,90,4643,Guatemala,1
218,52,40,1800,Mexico,0
219,3,3,3551,Equatorial Guinea,0
220,68,7,3415,Puerto Rico,0
221,14,18,2143,Madagascar,0
222,41,63,3058,Argentina,1
223,2,3,2622,Norway,0
224,27,87,316,Pitcairn Islands,1
225,80,27,4065,Spain,0
226,53,67,3961,United States Virgin Islands,1
227,85,5,1789,Luxembourg,0
228,56,58,782,Kenya,1
229,79,34,344,Jordan,0
230,86,7,1628,North Macedonia,0
231,30,13,4367,South Africa,0
232,66,9,4835,Andorra,0
233,35,86,731,Tokelau,1
234,95,78,4681,Burkina Faso,1
235,50,66,259,Slovakia (Slovak Republic),1
236,13,13,2169,Saint Kitts and Nevis,0
237,69,84,3088,Argentina,1
238,36,15,3654,Tanzania,0
239,37,24,1697,Saint Martin,0
240,54,19,3861,Mali,0
241,26,79,1788,Antarctica (the territory South of 60 deg S),1
242,11,49,4379,New Zealand,1
243,97,66,1923,Sao Tome and Principe,1
244,53,28,4037,Senegal,0
245,23,77,3572,Sierra Leone,1
246,13,43,947,Tunisia,0
247,60,46,4929,Angola,1
248,34,13,4080,Vanuatu,0
249,23,29,713,Lithuania,0
250,57,66,4772,Guatemala,1
251,86,53,4584,Croatia,1
252,19,35,3868,Guernsey,0
253,84,6,1219,Slovakia (Slovak Republic),0
254,62,6,1337,Indonesia,0
255,24,73,2142,Bulgaria,1
256,42,84,4980,Bolivia,1
257,57,76,3459,Samoa,1
258,65,32,2435,Seychelles,0
259,81,21,2162,Saint Barthelemy,0
260,66,53,3362,Mali,1
261,96,3,4354,Saint Helena,0
262,57,50,4720,Netherlands,1
263,93,34,933,Grenada,0
264,65,29,4868,Luxembourg,0
265,1,29,3797,Central African Republic,0
266,90,44,4592,Afghanistan,0
267,49,18,981,Hong Kong,0
268,65,54,4880,Mongolia,1
269,57,81,1747,New Caledonia,1
270,83,54,3995,Greenland,1
271,54,50,3694,Guatemala,1
272,19,16,1976,Costa Rica,0
273,99,58,4506,Senegal,1
274,15,41,1065,Ireland,0
275,38,72,3457,India,1
276,18,34,1424,Central African Republic,0
